Date,Category,Description,Dialogue,Place
2017/01/17,声かけ,「一緒に写真を撮ろう」,挨拶をしてきた児童に声をかけた。,鹿児島県大崎町
2017/01/17,声かけ,「アメちゃんあげるからおいで」,,大阪府茨木市春日
2017/01/17,卑わいな行為,「肉体関係になろう」,女子生徒に声かけして後をつける。,愛知県犬山市富岡
2017/01/17,不審な電話,「名簿がバラバラになってしまった」,ＰＴＡ役員を名乗り、児童の個人情報を聞き出そうとする。,群馬県前橋市
2017/01/17,声かけ,「何してるの？」,,大阪府河内長野市市町
2017/01/17,公然わいせつ,「君かわいいね」「メールアドレス教えて」,,東京都足立区保木間
2017/01/17,公然わいせつ,「こういうの見たことないでしょ」,,東京都足立区花畑
2017/01/17,声かけ,「お姉ちゃん，送っていこうか？」,,大分県佐伯市蒲江畑野浦
2017/01/17,声かけ,「相撲を見に行かないか」,男子中学生に声をかけて腕をつかむ。,大阪府大阪市港区三先
2017/01/17,声かけ,「あげよう」,男児に近づき声をかける。,兵庫県加古川市神野町石守
2017/01/17,声かけ,「何時に学校終わるの？」,,東京都世田谷区大原
2017/01/17,痴漢,「スタイルいいですね、触らせて」,声をかけて女性を触る。,愛知県豊田市広川町
2017/01/17,声かけ,「気持ちいい？」,,長野県松本市平田東
2017/01/17,声かけ,「お姉さん、ちょっといい」,,長野県長野市鶴賀七瀬
2017/01/17,声かけ,「いいものをあげようか」,,東京都港区港南
2017/01/17,声かけ,「一緒に遊ばない？」,,大阪府泉大津市東雲町
2017/01/17,暴言,「うるさい、あほやな」,後ろから近づき大声で怒鳴る。,大阪府大阪市天王寺区上汐
2017/01/17,声かけ,「乗れ」,自動の前に車を止め声を掛ける。,北海道室蘭市天神町
2017/01/17,卑わいな声かけ,「タイツ脱いでもらっていいか」,,宮城県富谷市鷹乃杜
2017/01/17,声かけ,「今、家にお母さんいるの？」,つきまとって声をかけた。,宮城県富谷市大清水
2017/01/16,声かけ,「ちょっとこっちに来て」,,埼玉県小川町みどりが丘
2017/01/16,つきまとい,「家どこ」,声をかけてつきまとう。,高知県高知市神田
2017/01/16,つきまとい,「家どこ」,声をかけてつきまとう。,高知県高知市神田
2017/01/12,声かけ,「かわいいね」「部活は何をしているの」,,東京都渋谷区恵比寿
2017/01/12,声かけ,「こっちへおいでよ」,,東京都町田市本町田
2017/01/12,声かけ,「誘拐したろか」,,大阪府豊中市利倉
2017/01/12,声かけ,「ゲームあげるから来て」,,福岡県北九州市若松区今光
2017/01/12,声かけ,「乗って」,,愛知県豊橋市馬見塚町
2017/01/12,声かけ,「君かわいいね」,,兵庫県神戸市垂水区
2017/01/12,声かけ,「おいで」,,大阪府大阪市都島区中野町
2017/01/11,声かけ,「ジュース買ってあげようか」,,大阪府交野市梅が枝
2017/01/11,痴漢,「かわいいね」,,神奈川県横須賀市池上
2017/01/11,声かけ,「風船持ってる？」,,東京都世田谷区世田谷
2017/01/10,声かけ,「どこの高校？名前は？」,,愛知県犬山市若宮
2017/01/10,声かけ,「刃物とか持ってない？」,警察を名乗り声をかけ、児童のカバンの中を見る。,愛知県清須市春日上須ケ田
2017/01/10,公然わいせつ,「ちょっと時間あるかな、お金払うから」,,東京都足立区花畑
2017/02/28,声かけ,「おじさんのこと知ってる？」,車の中から女児に声をかけた。,埼玉県さいたま市緑区三室
2017/02/28,声かけ,「お金をください」,女性に声をかけた。,埼玉県川越市的場
2017/02/28,声かけ,「こっちにおいで」,自転車を止めた高学年男児に声をかけた。,大阪府岸和田市岸城町
2017/02/28,声かけ,「俺は、どうしたらいい」,立ち話をしていた女児らに声をかけた。,愛知県豊明市栄町
2017/02/28,声かけ,「手をつなごう、一緒に行こう」,女児に声をかけた。,沖縄県浦添市内間
2017/02/28,つきまとい,「どこまで行くん」,帰宅途中の２０代女性に声をかけ、無視されると数百メートルにわたってつきまとった。,愛媛県八幡浜市保内町喜木
2017/02/28,声かけ,「お菓子買ってあげるからついておいで」,帰宅途中の女子生徒に車を降りて声をかけた。,大阪府岸和田市荒木町
2017/02/28,声かけ,「かわいいね、高校１年生？」,三輪自転車に乗って女子生徒に声をかけた。,宮城県涌谷町柳町
2017/02/28,下半身露出,「なめて」「キスして」,女児に下半身を見せ、卑わいなことを言った。,大分県中津市今津
2017/02/28,声かけ,「今日寒いね」,男児に声をかけ、腕を掴んだ。,北海道岩見沢市鳩ケ丘
2017/02/28,声かけ,「何してるの？」,遊んでいた男児らに声をかけた。,愛知県一宮市今伊勢町新神戸
2017/02/28,下半身露出,「こんにちは」,遊んでいた女児に声をかけ、下半身を見せた。,福岡県苅田町若久町
2017/02/28,声かけ,「家に帰るにはどこ通るん？」「家近いん？」,下校途中の女児らに声をかけた。,広島県広島市安佐南区伴東
2017/02/28,声かけ,「どこの小学校？どこに住んでるの？」,下校途中の男児らに声をかけた。,広島県広島市西区田方
2017/02/28,声かけ,「座りなさい」,バスを待っていた女子生徒に車の助手席を指差しながら声をかけた。,鹿児島県鹿児島市宇宿
2017/02/28,声かけ,「僕の家においでよ」,帰宅途中の女児に声をかけた。,福岡県大野城市筒井
2017/02/28,声かけ,「今帰り？一人？一緒に帰ろう」,帰宅途中の女子生徒に後ろから近づき、声をかけた。,兵庫県神戸市東灘区本山北町
2017/02/27,声かけ,「一緒に遊ぼ」,下校途中の女児に声をかけた。,大阪府箕面市坊島
2017/02/27,声かけ,「お名前は？」「電話番号教えて？」「住所はどこ？」,遊んでいた男児に声をかけた。,東京都練馬区石神井台
2017/02/27,声かけ,「わぁっ」,車の後部座席の窓越しに児童らに声をかけた。,北海道北見市川東
2017/02/27,声かけ,「こっちへおいで」,ポケットから白い袋を見せ、女子生徒に声をかけた。,京都府京都市北区北野下白梅町
2017/02/27,声かけ,「おねえちゃん」「今の危なかったなぁ」,,愛知県刈谷市井ケ谷町
2017/02/27,声かけ,「お茶を飲める券をあげるからおいでよ」,女児に声をかけた。,愛知県知多市八幡
2017/02/27,声かけ,「どこいくの」「こっちやで」,下校途中の高学年男児に近づき、声をかけた。,大阪府八尾市長池町
2017/02/27,声かけ,「渡したい物があるから、ちょっとここで待っていて」,下校途中の女児の肩を叩き、声をかけた。,静岡県静岡市駿河区みずほ
2017/02/27,声かけ,「何のカレーが好き？」,帰宅途中の女児に声をかけた。,広島県広島市安芸区船越南
2017/02/27,痴漢,「いいねえ」,下校途中の女児に声をかけ、手を触ろうとした。,愛媛県松山市西垣生町
2017/02/27,声かけ,「連絡先を教えてよ」,歩いていた女子生徒に声をかけた。,島根県松江市東津田町
2017/02/27,声かけ,「こっちおいで」,手招きをしながら男児に声をかけた。,茨城県古河市駒羽根
2017/02/27,不審な行動,「１００円あげる」,自転車に乗って女児に声をかけ、現金を渡した。,神奈川県相模原市南区相模台
2017/02/27,声かけ,「わっ」,女児の後ろで両手を上げながら大声を出した。,宮城県仙台市青葉区昭和町
2017/02/27,下半身露出,「見て見て」,女児に声をかけ、下半身を見せた。,北海道札幌市南区南沢３条
2017/02/27,声かけ,「２、３０分遊ばん？」「空いとる時間ある？」,下校途中の女児に声をかけた。,香川県宇多津町
2017/02/27,声かけ,「お菓子を買ってやるからこっちおいで、こんなら殺すぞ」,遊んでいた児童２人に声をかけた。,福岡県筑紫野市塔原東
2017/02/24,声かけ,「おいで」,下校途中の男子生徒に声をかけた。,東京都八王子市高倉町
2017/02/24,つきまとい,「ちょっとこっちにおいで」,帰宅途中の男児に声をかけ、男児が拒否すると走って追いかけた。,福岡県筑紫野市湯町
2017/02/24,声かけ,「一緒に遊ぼう、かわいいね」,女児に声をかけた。,埼玉県白岡市西
2017/02/24,声かけ,「手ひいたろか」,車に乗って男児らに声をかけた。,兵庫県尼崎市上ノ島町
2017/02/24,声かけ,「時間とかあるん？」,車を降りて女子生徒に近づき、声をかけた。,大阪府枚方市岡山手
2017/02/24,声かけ,「あんた、どこの子」,通行中の女児に声をかけた。,大阪府大阪市住之江区緑木
2017/02/24,声かけ,「ちょっと、待って」,帰宅途中の女児に声をかけた。,福井県福井市文京
2017/02/24,声かけ,「後でメールしよう」,帰宅途中の男子生徒に声をかけた。,東京都調布市多摩川
2017/02/24,声かけ,「こって来て」,遊んでいた男児に声をかけた。,兵庫県高砂市時光寺町
2017/02/24,声かけ,「何年生？」「学校楽しい？」,歩いていた児童に声をかけた。,北海道登別市若草町
2017/02/24,声かけ,「おいで、おいで」,下校途中の女児に声をかけた。,大阪府能勢町片山
2017/02/24,暴言,「死ね」,すれ違った男児に振り返ることなく暴言を吐いた。,愛知県名古屋市北区中切町
2017/02/24,声かけ,「おい」,通学途中の女児に車の中から声をかけた。,大阪府大阪市東淀川区井高野
2017/02/24,声かけ,「名前と住所は？」,女児に声をかけた。,埼玉県朝霞市北原
2017/02/24,声かけ,「１万円ある」,バイクに乗って女児に声をかけた。,神奈川県厚木市下川入
2017/02/24,声かけ,「乗っていくか」,下校途中の女子生徒に声をかけた。,島根県益田市昭和町
2017/02/24,声かけ,「小学生か」「中学生か」「学校まで何分かかるか」,現場近くをうろつき、児童に声をかけた。,宮城県白石市大平中目
2017/02/24,声かけ,「これから一緒にご飯食べに行かない？」,買い物中の女子生徒に声をかけた。,宮城県登米市中田町上沼
2017/02/24,声かけ,「どこ行くん」,女子生徒に声をかけ、腕を掴んだ。,岡山県赤磐市岩田
2017/02/24,つきまとい,「どうも」「バイバーイ」,通行中の女児に声をかけ、９条東２丁目にかけて後をつけ、再び声をかけて立ち去った。,北海道岩見沢市春日町
2017/02/24,つきまとい,「ご飯でも食べに行こう」,バス停で女性に声をかけ、バス内までつきまとった。,奈良県奈良市富雄元町
2017/02/24,声かけ,「おいで、おいで」,帰宅途中の男児に声をかけ、手招きした。,奈良県大和郡山市若槻町
2017/02/24,声かけ,「アメをあげるよ」,女児に声をかけた。,鳥取県米子市西福原
2017/02/24,声かけ,「遊びに行かない？」,帰宅途中の女子生徒に声をかけた。,東京都渋谷区西原
2017/02/24,下半身露出,「〇〇中の子？」,下半身を出した状態で女子生徒に声をかけた。,埼玉県さいたま市見沼区大谷
2017/02/24,声かけ,「絵本買いにいく」,登園途中の園児に車の中から声をかけた。,大分県別府市石垣西
2017/02/24,卑わいな声かけ,「パンツ見せて」,女児３人に卑わいなことを言った。,熊本県熊本市中央区内坪井町
2017/02/24,声かけ,「どこの中学なん？」「一緒に来て」,登校途中の女子生徒に声をかけた。,京都府京都市左京区田中西高原町
2017/02/24,声かけ,「モデルさんですか？ＬＩＮＥを教えてください」,帰宅途中の女子生徒に声をかけた。,東京都大田区北嶺町
2017/02/24,声かけ,「こんにちは、おじさんと遊ぼう」,下校途中の女児に声をかけた。,千葉県柏市加賀
2017/02/24,声かけ,「子どもの服装について調査している」「少し時間いいですか？」,下校途中の女児に声をかけた。,東京都国分寺市東元町
2017/02/24,声かけ,「一緒に帰ろうよ」「車に乗りなよ」,女子生徒に声をかけた。,福岡県糸島市前原中央
2017/02/24,声かけ,「あっ、前の子やな、前は何で逃げたん？」,女子生徒に声をかけた。,大阪府富田林市若松町
2017/02/24,声かけ,「ついて行くぞ」,帰宅途中の女子生徒に声をかけた。,大阪府岸和田市小松里町
2017/02/24,声かけ,「ちょっといい？」,女児に声をかけた。,埼玉県川口市八幡木
2017/02/24,暴言,「あなたの名前は？」「死ね」,集団下校途中の児童に暴言を吐いた。,京都府京都市中京区壬生松原町
2017/02/24,声かけ,「何年生？」「どこの小学校？」「お家どの辺？」,歩いていた児童に声をかけた。,北海道登別市中央町
2017/02/24,声かけ,「学校遅れたの？車乗ってく？」,車で児童に近づき、声をかけた。,北海道函館市大森町
2017/02/24,声かけ,「パインアメいる？」,帰宅途中の男児らに声をかけた。,兵庫県神戸市東灘区西岡本
2017/02/24,声かけ,「唾液を集めている。ここに入れて」,女児に声をかけ、フィルムケースのようなものを出した。,愛知県名古屋市北区安井
2017/02/24,声かけ,「何年生？」「３年生？」「名前は？」,,東京都世田谷区上馬
2017/02/24,声かけ,「ジュース買ったげるわ」,帰宅途中の女児と接触しかけた後、女児に声をかけた。,大阪府大阪市此花区四貫島
2017/02/24,声かけ,「いいもの見せるから、家においで」,下校途中の男児に声をかけた。,東京都清瀬市元町
2017/02/24,声かけ,「こんにちは」「それ何持っているの？」,下校途中の男児に声をかけた。,東京都調布市深大寺南町
2017/02/23,卑わいな電話,「下着の盗難の件なんですけど、お気づきのことはありますか？」,卑わいな内容の電話を架けた。,埼玉県久喜市
2017/02/23,声かけ,「算数と手品教えてあげる」,遊んでいた女児に声をかけた。,東京都葛飾区奥戸
2017/02/23,声かけ,「名前、住所を教えて」,下校途中の低学年女児に声をかけた。,大阪府大阪市港区市岡
2017/02/23,声かけ,「いいね、いいね」,帰宅途中の２０代女性らに声をかけた。,広島県広島市安佐北区可部南
2017/02/23,声かけ,「双子ちゃん？家はどこなの？」,双子の妹と一緒に帰宅途中の女児に声をかけた。,奈良県奈良市六条
2017/02/23,声かけ,「私は生活指導員です。君たち名前を教えてください」,帰宅途中の児童らに車内から声をかけた。,奈良県生駒市鹿ノ台西
2017/02/23,声かけ,「寒いなぁ」,信号待ちをしていた女児に声をかけた。女児がこの男性を避けようと裏道を歩いていたところ、今度は女児を凝視して笑いかけた。,奈良県桜井市戒重
2017/02/23,声かけ,「一緒に学校行かへんか？アメあげよか」,高学年男児２人に前から近づき、声をかけた。,大阪府八尾市老原
2017/02/23,声かけ,「何年生？」,高学年女児に後ろから近づき、ランドセルを押して声をかけた。,大阪府八尾市老原
2017/02/23,声かけ,「エッチなアルバイトをしてみない？」,帰宅途中の女子生徒に声をかけた。,岩手県滝沢市穴口
2017/02/23,声かけ,「家はどこなの？」,男児に声をかけた。,埼玉県志木市本町
2017/02/23,不審な行動,「ボックスにカギがあったので開けました」,声をかけて玄関ドアを開けた。,埼玉県久喜市上町
2017/02/23,不審な格好,「公園に行かない？」,女子生徒に声をかけた。,埼玉県三郷市高州
2017/02/23,声かけ,「ゲーム持っていない？交換しよう」,児童に声をかけた。,埼玉県川口市安行領根岸
2017/02/23,声かけ,「かわいい子だね。私が預かってあげる」,園児を連れた保護者に声をかけた。,愛知県名古屋市中村区鳥居通
2017/02/23,声かけ,「握手してください」,信号待ちをしていた車に近づいて窓を叩き、乗っていた女性に声をかけた。,長野県上田市上塩尻
2017/02/23,声かけ,「わっ」,帰宅途中の女児らに後ろから近づき、声をかけた。,長崎県長崎市扇町
2017/02/23,声かけ,「お名前は？」,帰宅途中の女児３人に声をかけた。,北海道恵庭市和光町
2017/02/23,声かけ,「ご飯を一緒に食べに行こう」,車に乗って女児に声をかけた。,鹿児島県徳之島町
2017/02/23,声かけ,「お嬢ちゃん一人？」,女児に声をかけた。,福岡県北九州市若松区栄盛川町
2017/02/23,声かけ,「伊丹駅はどこですか？途中まで来てもらっていいですか」,帰宅途中の女子生徒にしつこく声をかけた。,兵庫県伊丹市平松
